# W: 25
# H: 10
# R_BOLA: 0.2
#         t             x0             y0            vx0            vy0             x1             y1            vx1            vy1             x2             y2            vx2            vy2             x3             y3            vx3            vy3             x4             y4            vx4            vy4             x5             y5            vx5            vy5             x6             y6            vx6            vy6             x7             y7            vx7            vy7             x8             y8            vx8            vy8             x9             y9            vx9            vy9            x10            y10           vx10           vy10            x11            y11           vx11           vy11            x12            y12           vx12           vy12            x13            y13           vx13           vy13            x14            y14           vx14           vy14            x15            y15           vx15           vy15            x16            y16           vx16           vy16            x17            y17           vx17           vy17            x18            y18           vx18           vy18            x19            y19           vx19           vy19            x20            y20           vx20           vy20            x21            y21           vx21           vy21            x22            y22           vx22           vy22            x23            y23           vx23           vy23            x24            y24           vx24           vy24            x25            y25           vx25           vy25
    0.0000       0.200000       0.200000       0.127910      -0.420473       3.714286       0.200000      -0.130951       0.041119       7.228571       0.200000       0.170496      -0.321257      10.742857       0.200000      -0.135611      -0.484301      14.257143       0.200000      -0.730709      -0.288671      17.771429       0.200000      -0.360494       0.547976      21.285714       0.200000      -0.743920       0.524232      24.800000       0.200000       0.580961       0.191083       0.200000       3.400000      -0.403381      -0.441308       3.714286       3.400000       0.643354      -0.693911       7.228571       3.400000       0.728941       0.672928      10.742857       3.400000       0.401536      -0.314960      14.257143       3.400000      -0.498808      -0.293891      17.771429       3.400000       0.200636      -0.521710      21.285714       3.400000      -0.272239      -0.160991      24.800000       3.400000       0.329001       0.194110       0.200000       6.600000       0.019465      -0.536058       3.714286       6.600000      -0.579168      -0.070396       7.228571       6.600000       0.182763      -0.132597      10.742857       6.600000       0.393914       0.237529      14.257143       6.600000       0.427859       0.030862      17.771429       6.600000       0.308797       0.275394      21.285714       6.600000      -0.088361       0.141099      24.800000       6.600000       0.958904       0.153971       0.200000       9.800000       0.080642      -0.890682       3.714286       9.800000       0.766881      -0.437732
    0.0100       0.201279       0.203364       0.127910       0.420473       3.712976       0.200411      -0.130951       0.041119       7.230276       0.202570       0.170496       0.321257      10.741501       0.203874      -0.135611       0.484301      14.249836       0.202309      -0.730709       0.288671      17.767824       0.205480      -0.360494       0.547976      21.278275       0.205242      -0.743920       0.524232      24.795352       0.201911      -0.580961       0.191083       0.203227       3.395587       0.403381      -0.441308       3.720719       3.393061       0.643354      -0.693911       7.235861       3.406729       0.728941       0.672928      10.746872       3.396850       0.401536      -0.314960      14.252155       3.397061      -0.498808      -0.293891      17.773435       3.394783       0.200636      -0.521710      21.282992       3.398390      -0.272239      -0.160991      24.797368       3.401941      -0.329001       0.194110       0.200195       6.594639       0.019465      -0.536058       3.708494       6.599296      -0.579168      -0.070396       7.230399       6.598674       0.182763      -0.132597      10.746796       6.602375       0.393914       0.237529      14.261421       6.600309       0.427859       0.030862      17.774517       6.602754       0.308797       0.275394      21.284831       6.601411      -0.088361       0.141099      24.792329       6.601540      -0.958904       0.153971       0.200806       9.791093       0.080642      -0.890682       3.721955       9.795623       0.766881      -0.437732
    0.0200       0.202558       0.207569       0.127910       0.420473       3.711667       0.200822      -0.130951       0.041119       7.231981       0.205783       0.170496       0.321257      10.740145       0.208717      -0.135611       0.484301      14.242529       0.205196      -0.730709       0.288671      17.764219       0.210960      -0.360494       0.547976      21.270836       0.210485      -0.743920       0.524232      24.789543       0.203822      -0.580961       0.191083       0.207261       3.391174       0.403381      -0.441308       3.727153       3.386122       0.643354      -0.693911       7.243150       3.413459       0.728941       0.672928      10.750888       3.393701       0.401536      -0.314960      14.247167       3.394122      -0.498808      -0.293891      17.775441       3.389566       0.200636      -0.521710      21.280270       3.396780      -0.272239      -0.160991      24.794078       3.403882      -0.329001       0.194110       0.200389       6.589279       0.019465      -0.536058       3.702702       6.598592      -0.579168      -0.070396       7.232227       6.597348       0.182763      -0.132597      10.750735       6.604751       0.393914       0.237529      14.265700       6.600617       0.427859       0.030862      17.777605       6.605508       0.308797       0.275394      21.283947       6.602822      -0.088361       0.141099      24.782740       6.603079      -0.958904       0.153971       0.201613       9.782186       0.080642      -0.890682       3.729623       9.791245       0.766881      -0.437732
    0.0300       0.203837       0.211773       0.127910       0.420473       3.710357       0.201234      -0.130951       0.041119       7.233686       0.208995       0.170496       0.321257      10.738789       0.213560      -0.135611       0.484301      14.235222       0.208083      -0.730709       0.288671      17.760614       0.216439      -0.360494       0.547976      21.263397       0.215727      -0.743920       0.524232      24.783733       0.205732      -0.580961       0.191083       0.211295       3.386761       0.403381      -0.441308       3.733586       3.379183       0.643354      -0.693911       7.250440       3.420188       0.728941       0.672928      10.754903       3.390551       0.401536      -0.314960      14.242179       3.391183      -0.498808      -0.293891      17.777448       3.384349       0.200636      -0.521710      21.277547       3.395170      -0.272239      -0.160991      24.790788       3.405823      -0.329001       0.194110       0.200584       6.583918       0.019465      -0.536058       3.696911       6.597888      -0.579168      -0.070396       7.234054       6.596022       0.182763      -0.132597      10.754675       6.607126       0.393914       0.237529      14.269979       6.600926       0.427859       0.030862      17.780692       6.608262       0.308797       0.275394      21.283063       6.604233      -0.088361       0.141099      24.773151       6.604619      -0.958904       0.153971       0.202419       9.773280       0.080642      -0.890682       3.737292       9.786868       0.766881      -0.437732
    0.0400       0.205116       0.215978       0.127910       0.420473       3.709048       0.201645      -0.130951       0.041119       7.235391       0.212208       0.170496       0.321257      10.737433       0.218403      -0.135611       0.484301      14.227915       0.210970      -0.730709       0.288671      17.757009       0.221919      -0.360494       0.547976      21.255957       0.220969      -0.743920       0.524232      24.777923       0.207643      -0.580961       0.191083       0.215328       3.382348       0.403381      -0.441308       3.740020       3.372244       0.643354      -0.693911       7.257729       3.426917       0.728941       0.672928      10.758919       3.387402       0.401536      -0.314960      14.237191       3.388244      -0.498808      -0.293891      17.779454       3.379132       0.200636      -0.521710      21.274825       3.393560      -0.272239      -0.160991      24.787498       3.407764      -0.329001       0.194110       0.200779       6.578558       0.019465      -0.536058       3.691119       6.597184      -0.579168      -0.070396       7.235882       6.594696       0.182763      -0.132597      10.758614       6.609501       0.393914       0.237529      14.274257       6.601234       0.427859       0.030862      17.783780       6.611016       0.308797       0.275394      21.282180       6.605644      -0.088361       0.141099      24.763562       6.606159      -0.958904       0.153971       0.203226       9.764373       0.080642      -0.890682       3.744961       9.782491       0.766881      -0.437732
    0.0500       0.206396       0.220183       0.127910       0.420473       3.707738       0.202056      -0.130951       0.041119       7.237096       0.215420       0.170496       0.321257      10.736077       0.223246      -0.135611       0.484301      14.220607       0.213856      -0.730709       0.288671      17.753404       0.227399      -0.360494       0.547976      21.248518       0.226212      -0.743920       0.524232      24.772114       0.209554      -0.580961       0.191083       0.219362       3.377935       0.403381      -0.441308       3.746453       3.365304       0.643354      -0.693911       7.265018       3.433646       0.728941       0.672928      10.762934       3.384252       0.401536      -0.314960      14.232202       3.385305      -0.498808      -0.293891      17.781460       3.373914       0.200636      -0.521710      21.272102       3.391950      -0.272239      -0.160991      24.784208       3.409706      -0.329001       0.194110       0.200973       6.573197       0.019465      -0.536058       3.685327       6.596480      -0.579168      -0.070396       7.237710       6.593370       0.182763      -0.132597      10.762553       6.611876       0.393914       0.237529      14.278536       6.601543       0.427859       0.030862      17.786868       6.613770       0.308797       0.275394      21.281296       6.607055      -0.088361       0.141099      24.753973       6.607699      -0.958904       0.153971       0.204032       9.755466       0.080642      -0.890682       3.752630       9.778113       0.766881      -0.437732
    0.0600       0.207675       0.224387       0.127910       0.420473       3.706429       0.202467      -0.130951       0.041119       7.238801       0.218633       0.170496       0.321257      10.734720       0.228089      -0.135611       0.484301      14.213300       0.216743      -0.730709       0.288671      17.749799       0.232879      -0.360494       0.547976      21.241079       0.231454      -0.743920       0.524232      24.766304       0.211465      -0.580961       0.191083       0.223396       3.373522       0.403381      -0.441308       3.752887       3.358365       0.643354      -0.693911       7.272308       3.440376       0.728941       0.672928      10.766949       3.381102       0.401536      -0.314960      14.227214       3.382367      -0.498808      -0.293891      17.783467       3.368697       0.200636      -0.521710      21.269380       3.390341      -0.272239      -0.160991      24.780918       3.411647      -0.329001       0.194110       0.201168       6.567837       0.019465      -0.536058       3.679536       6.595776      -0.579168      -0.070396       7.239537       6.592044       0.182763      -0.132597      10.766492       6.614252       0.393914       0.237529      14.282814       6.601852       0.427859       0.030862      17.789956       6.616524       0.308797       0.275394      21.280413       6.608466      -0.088361       0.141099      24.744384       6.609238      -0.958904       0.153971       0.204839       9.746559       0.080642      -0.890682       3.760299       9.773736       0.766881      -0.437732
    0.0700       0.208954       0.228592       0.127910       0.420473       3.705119       0.202878      -0.130951       0.041119       7.240506       0.221845       0.170496       0.321257      10.733364       0.232932      -0.135611       0.484301      14.205993       0.219630      -0.730709       0.288671      17.746194       0.238358      -0.360494       0.547976      21.233640       0.236696      -0.743920       0.524232      24.760495       0.213376      -0.580961       0.191083       0.227430       3.369108       0.403381      -0.441308       3.759320       3.351426       0.643354      -0.693911       7.279597       3.447105       0.728941       0.672928      10.770965       3.377953       0.401536      -0.314960      14.222226       3.379428      -0.498808      -0.293891      17.785473       3.363480       0.200636      -0.521710      21.266658       3.388731      -0.272239      -0.160991      24.777628       3.413588      -0.329001       0.194110       0.201363       6.562476       0.019465      -0.536058       3.673744       6.595072      -0.579168      -0.070396       7.241365       6.590718       0.182763      -0.132597      10.770431       6.616627       0.393914       0.237529      14.287093       6.602160       0.427859       0.030862      17.793044       6.619278       0.308797       0.275394      21.279529       6.609877      -0.088361       0.141099      24.734795       6.610778      -0.958904       0.153971       0.205645       9.737652       0.080642      -0.890682       3.767967       9.769359       0.766881      -0.437732
    0.0800       0.210233       0.232797       0.127910       0.420473       3.703810       0.203290      -0.130951       0.041119       7.242211       0.225058       0.170496       0.321257      10.732008       0.237776      -0.135611       0.484301      14.198686       0.222516      -0.730709       0.288671      17.742589       0.243838      -0.360494       0.547976      21.226201       0.241939      -0.743920       0.524232      24.754685       0.215287      -0.580961       0.191083       0.231464       3.364695       0.403381      -0.441308       3.765754       3.344487       0.643354      -0.693911       7.286887       3.453834       0.728941       0.672928      10.774980       3.374803       0.401536      -0.314960      14.217238       3.376489      -0.498808      -0.293891      17.787479       3.358263       0.200636      -0.521710      21.263935       3.387121      -0.272239      -0.160991      24.774338       3.415529      -0.329001       0.194110       0.201557       6.557115       0.019465      -0.536058       3.667952       6.594368      -0.579168      -0.070396       7.243193       6.589392       0.182763      -0.132597      10.774370       6.619002       0.393914       0.237529      14.291372       6.602469       0.427859       0.030862      17.796132       6.622032       0.308797       0.275394      21.278645       6.611288      -0.088361       0.141099      24.725206       6.612318      -0.958904       0.153971       0.206451       9.728745       0.080642      -0.890682       3.775636       9.764981       0.766881      -0.437732
    0.0900       0.211512       0.237002       0.127910       0.420473       3.702500       0.203701      -0.130951       0.041119       7.243916       0.228271       0.170496       0.321257      10.730652       0.242619      -0.135611       0.484301      14.191379       0.225403      -0.730709       0.288671      17.738984       0.249318      -0.360494       0.547976      21.218761       0.247181      -0.743920       0.524232      24.748875       0.217197      -0.580961       0.191083       0.235498       3.360282       0.403381      -0.441308       3.772188       3.337548       0.643354      -0.693911       7.294176       3.460564       0.728941       0.672928      10.778995       3.371654       0.401536      -0.314960      14.212250       3.373550      -0.498808      -0.293891      17.789486       3.353046       0.200636      -0.521710      21.261213       3.385511      -0.272239      -0.160991      24.771048       3.417470      -0.329001       0.194110       0.201752       6.551755       0.019465      -0.536058       3.662161       6.593664      -0.579168      -0.070396       7.245020       6.588066       0.182763      -0.132597      10.778309       6.621378       0.393914       0.237529      14.295650       6.602778       0.427859       0.030862      17.799220       6.624786       0.308797       0.275394      21.277762       6.612699      -0.088361       0.141099      24.715616       6.613857      -0.958904       0.153971       0.207258       9.719839       0.080642      -0.890682       3.783305       9.760604       0.766881      -0.437732
