# t x1 v1 x2 v2
0.00000000 1.00000000 0.00000000 0.50000000 0.00000000
0.01000000 0.99993750 -0.01249971 0.49998747 -0.00250944
0.02000000 0.99975001 -0.02499773 0.49994975 -0.00503802
0.03000000 0.99943756 -0.03749244 0.49988664 -0.00758614
0.04000000 0.99900018 -0.04998234 0.49979796 -0.01015419
0.05000000 0.99843793 -0.06246601 0.49968349 -0.01274256
0.06000000 0.99775088 -0.07494212 0.49954304 -0.01535166
0.07000000 0.99693912 -0.08740945 0.49937639 -0.01798189
0.08000000 0.99600273 -0.09986686 0.49918333 -0.02063365
0.09000000 0.99494182 -0.11231330 0.49896364 -0.02330734
0.10000000 0.99375650 -0.12474784 0.49871711 -0.02600337
0.11000000 0.99244690 -0.13716961 0.49844350 -0.02872214
0.12000000 0.99101315 -0.14957786 0.49814259 -0.03146407
0.13000000 0.98945539 -0.16197190 0.49781414 -0.03422955
0.14000000 0.98777377 -0.17435116 0.49745792 -0.03701901
0.15000000 0.98596842 -0.18671513 0.49707368 -0.03983285
0.16000000 0.98403952 -0.19906341 0.49666118 -0.04267149
0.17000000 0.98198721 -0.21139568 0.49622016 -0.04553535
0.18000000 0.97981166 -0.22371170 0.49575038 -0.04842482
0.19000000 0.97751303 -0.23601132 0.49525158 -0.05134035
0.20000000 0.97509148 -0.24829447 0.49472349 -0.05428234
0.21000000 0.97254719 -0.26056115 0.49416584 -0.05725121
0.22000000 0.96988032 -0.27281147 0.49357837 -0.06024739
0.23000000 0.96709102 -0.28504558 0.49296080 -0.06327130
0.24000000 0.96417946 -0.29726373 0.49231285 -0.06632336
0.25000000 0.96114579 -0.30946625 0.49163424 -0.06940400
0.26000000 0.95799018 -0.32165352 0.49092468 -0.07251365
0.27000000 0.95471277 -0.33382603 0.49018387 -0.07565273
0.28000000 0.95131371 -0.34598429 0.48941152 -0.07882168
0.29000000 0.94779313 -0.35812892 0.48860733 -0.08202093
0.30000000 0.94415118 -0.37026059 0.48777100 -0.08525090
0.31000000 0.94038796 -0.38238005 0.48690221 -0.08851205
0.32000000 0.93650361 -0.39448809 0.48600066 -0.09180480
0.33000000 0.93249824 -0.40658558 0.48506601 -0.09512960
0.34000000 0.92837193 -0.41867346 0.48409795 -0.09848688
0.35000000 0.92412480 -0.43075269 0.48309616 -0.10187709
0.36000000 0.91975690 -0.44282434 0.48206030 -0.10530068
0.37000000 0.91526833 -0.45488949 0.48099004 -0.10875809
0.38000000 0.91065913 -0.46694930 0.47988503 -0.11224978
0.39000000 0.90592936 -0.47900499 0.47874492 -0.11577620
0.40000000 0.90107904 -0.49105780 0.47756938 -0.11933780
0.41000000 0.89610821 -0.50310904 0.47635805 -0.12293505
0.42000000 0.89101686 -0.51516007 0.47511056 -0.12656840
0.43000000 0.88580500 -0.52721229 0.47382656 -0.13023831
0.44000000 0.88047261 -0.53926714 0.47250567 -0.13394527
0.45000000 0.87501964 -0.55132612 0.47114753 -0.13768972
0.46000000 0.86944607 -0.56339074 0.46975175 -0.14147216
0.47000000 0.86375181 -0.57546257 0.46831796 -0.14529306
0.48000000 0.85793679 -0.58754323 0.46684576 -0.14915289
0.49000000 0.85200091 -0.59963435 0.46533477 -0.15305214
0.50000000 0.84594406 -0.61173760 0.46378459 -0.15699130
0.51000000 0.83976611 -0.62385470 0.46219481 -0.16097086
0.52000000 0.83346691 -0.63598738 0.46056503 -0.16499132
0.53000000 0.82704630 -0.64813741 0.45889484 -0.16905318
0.54000000 0.82050410 -0.66030658 0.45718383 -0.17315694
0.55000000 0.81384010 -0.67249671 0.45543156 -0.17730310
0.56000000 0.80705409 -0.68470964 0.45363762 -0.18149220
0.57000000 0.80014583 -0.69694725 0.45180158 -0.18572474
0.58000000 0.79311506 -0.70921140 0.44992298 -0.19000124
0.59000000 0.78596150 -0.72150401 0.44800140 -0.19432223
0.60000000 0.77868487 -0.73382698 0.44603639 -0.19868826
0.61000000 0.77128486 -0.74618225 0.44402749 -0.20309985
0.62000000 0.76376112 -0.75857176 0.44197424 -0.20755755
0.63000000 0.75611330 -0.77099746 0.43987618 -0.21206191
0.64000000 0.74834104 -0.78346131 0.43773284 -0.21661348
0.65000000 0.74044394 -0.79596525 0.43554375 -0.22121283
