# t x1 v1 x2 v2
0 1 0 0.5 0
0.01 0.999938 -0.0124998 0.499987 -0.00250936
0.02 0.99975 -0.0249981 0.49995 -0.0050376
0.03 0.999438 -0.0374934 0.499887 -0.00758514
0.04 0.999 -0.0499842 0.499798 -0.0101523
0.05 0.998438 -0.0624689 0.499684 -0.0127396
0.06 0.997751 -0.0749464 0.499543 -0.0153474
0.07 0.996939 -0.0874152 0.499377 -0.017976
0.08 0.996003 -0.0998745 0.499184 -0.0206259
0.09 0.994942 -0.112323 0.498964 -0.0232975
0.1 0.993756 -0.12476 0.498717 -0.0259911
0.11 0.992446 -0.137184 0.498444 -0.0287072
0.12 0.991012 -0.149595 0.498143 -0.0314463
0.13 0.989455 -0.161992 0.497815 -0.0342086
0.14 0.987773 -0.174375 0.497459 -0.0369946
0.15 0.985967 -0.186742 0.497075 -0.0398048
0.16 0.984038 -0.199094 0.496663 -0.0426395
0.17 0.981985 -0.21143 0.496222 -0.0454991
0.18 0.979809 -0.223751 0.495753 -0.0483841
0.19 0.97751 -0.236055 0.495254 -0.0512949
0.2 0.975088 -0.248343 0.494727 -0.0542319
0.21 0.972544 -0.260614 0.49417 -0.0571955
0.22 0.969876 -0.27287 0.493583 -0.0601862
0.23 0.967086 -0.285109 0.492966 -0.0632043
0.24 0.964174 -0.297333 0.492319 -0.0662503
0.25 0.96114 -0.309541 0.491641 -0.0693247
0.26 0.957983 -0.321735 0.490932 -0.0724277
0.27 0.954705 -0.333913 0.490192 -0.07556
0.28 0.951305 -0.346078 0.489421 -0.0787219
0.29 0.947784 -0.358229 0.488617 -0.0819137
0.3 0.944141 -0.370368 0.487782 -0.0851361
0.31 0.940376 -0.382495 0.486915 -0.0883894
0.32 0.936491 -0.39461 0.486014 -0.091674
0.33 0.932484 -0.406715 0.485081 -0.0949904
0.34 0.928356 -0.418811 0.484114 -0.098339
0.35 0.924108 -0.430898 0.483114 -0.10172
0.36 0.919739 -0.442978 0.48208 -0.105135
0.37 0.915248 -0.455052 0.481011 -0.108583
0.38 0.910638 -0.467121 0.479908 -0.112065
0.39 0.905906 -0.479185 0.47877 -0.115581
0.4 0.901054 -0.491247 0.477596 -0.119133
0.41 0.896081 -0.503308 0.476387 -0.122719
0.42 0.890988 -0.515369 0.475142 -0.126342
0.43 0.885774 -0.527431 0.47386 -0.130001
0.44 0.880439 -0.539496 0.472542 -0.133697
0.45 0.874984 -0.551565 0.471186 -0.13743
0.46 0.869408 -0.56364 0.469793 -0.1412
0.47 0.863711 -0.575723 0.468362 -0.145009
0.48 0.857893 -0.587815 0.466892 -0.148857
0.49 0.851955 -0.599917 0.465384 -0.152743
0.5 0.845895 -0.612032 0.463837 -0.15667
0.51 0.839714 -0.624161 0.462251 -0.160636
0.52 0.833412 -0.636306 0.460624 -0.164643
0.53 0.826988 -0.648468 0.458958 -0.168692
0.54 0.820442 -0.66065 0.45725 -0.172782
0.55 0.813775 -0.672853 0.455502 -0.176914
0.56 0.806985 -0.685079 0.453712 -0.181089
0.57 0.800073 -0.69733 0.45188 -0.185307
0.58 0.793039 -0.709607 0.450006 -0.189568
0.59 0.785881 -0.721914 0.448088 -0.193874
0.6 0.7786 -0.734251 0.446128 -0.198225
0.61 0.771196 -0.746621 0.444124 -0.202621
0.62 0.763668 -0.759025 0.442075 -0.207063
0.63 0.756016 -0.771465 0.439982 -0.211551
0.64 0.748239 -0.783945 0.437844 -0.216087
0.65 0.740337 -0.796464 0.43566 -0.220669
0.66 0.732309 -0.809026 0.433431 -0.2253
0.67 0.724156 -0.821632 0.431154 -0.22998
0.68 0.715876 -0.834285 0.428831 -0.234709
0.69 0.70747 -0.846985 0.42646 -0.239487
0.7 0.698937 -0.859736 0.424041 -0.244316
0.71 0.690275 -0.872539 0.421573 -0.249196
0.72 0.681486 -0.885396 0.419057 -0.254128
0.73 0.672567 -0.898309 0.41649 -0.259112
0.74 0.663519 -0.91128 0.413874 -0.264149
0.75 0.654341 -0.924311 0.411207 -0.269239
0.76 0.645033 -0.937403 0.408489 -0.274383
0.77 0.635593 -0.950558 0.405719 -0.279583
0.78 0.626022 -0.963778 0.402897 -0.284837
0.79 0.616318 -0.977065 0.400022 -0.290148
0.8 0.60648 -0.990421 0.397094 -0.295515
0.81 0.596509 -1.00385 0.394112 -0.30094
0.82 0.586403 -1.01734 0.391075 -0.306422
0.83 0.576162 -1.03091 0.387983 -0.311964
0.84 0.565785 -1.04456 0.384835 -0.317565
0.85 0.555271 -1.05828 0.381632 -0.323226
0.86 0.544619 -1.07208 0.378371 -0.328947
0.87 0.533829 -1.08595 0.375052 -0.334731
0.88 0.5229 -1.09991 0.371676 -0.340576
0.89 0.51183 -1.11395 0.368241 -0.346485
0.9 0.50062 -1.12806 0.364746 -0.352457
0.91 0.489269 -1.14226 0.361191 -0.358494
0.92 0.477775 -1.15654 0.357576 -0.364596
0.93 0.466138 -1.17091 0.353899 -0.370764
0.94 0.454357 -1.18536 0.35016 -0.376999
0.95 0.44243 -1.19989 0.346359 -0.383301
0.96 0.430359 -1.21451 0.342494 -0.389671
0.97 0.41814 -1.22921 0.338565 -0.39611
0.98 0.405774 -1.244 0.334571 -0.402619
0.99 0.39326 -1.25886 0.330512 -0.409199
1 0.380597 -1.27381 0.326387 -0.41585
1.01 0.367783 -1.28885 0.322195 -0.422573
1.02 0.354819 -1.30396 0.317935 -0.429369
1.03 0.341704 -1.31915 0.313607 -0.436239
1.04 0.328436 -1.33442 0.30921 -0.443183
1.05 0.315015 -1.34976 0.304743 -0.450203
1.06 0.301441 -1.36518 0.300206 -0.457299
1.07 0.287712 -1.38067 0.295597 -0.464472
1.08 0.273827 -1.39623 0.290916 -0.471722
1.09 0.259787 -1.41185 0.286162 -0.479051
1.1 0.24559 -1.42754 0.281335 -0.486459
1.11 0.231236 -1.44328 0.276433 -0.493948
1.12 0.216724 -1.45908 0.271455 -0.501517
1.13 0.202054 -1.47493 0.266402 -0.509168
1.14 0.187226 -1.49082 0.261272 -0.516901
1.15 0.172238 -1.50675 0.256064 -0.524718
1.16 0.157091 -1.52271 0.250777 -0.532618
1.17 0.141784 -1.5387 0.245411 -0.540603
1.18 0.126317 -1.55472 0.239964 -0.548674
1.19 0.110689 -1.57074 0.234437 -0.556831
1.2 0.0949018 -1.58677 0.228827 -0.565074
1.21 0.078954 -1.6028 0.223135 -0.573406
1.22 0.062846 -1.61881 0.217359 -0.581825
1.23 0.0465779 -1.6348 0.211498 -0.590333
1.24 0.0301501 -1.65077 0.205552 -0.598931
1.25 0.0135628 -1.66669 0.199519 -0.607618
1.26 -0.00318342 -1.68256 0.193399 -0.616397
1.27 -0.020088 -1.69836 0.187191 -0.625266
1.28 -0.0371502 -1.71408 0.180893 -0.634227
1.29 -0.0543693 -1.72972 0.174506 -0.64328
1.3 -0.0717442 -1.74525 0.168027 -0.652426
1.31 -0.0892738 -1.76066 0.161457 -0.661664
1.32 -0.106957 -1.77594 0.154794 -0.670996
1.33 -0.124792 -1.79107 0.148037 -0.680421
1.34 -0.142778 -1.80603 0.141185 -0.68994
1.35 -0.160912 -1.82081 0.134237 -0.699552
1.36 -0.179193 -1.83538 0.127193 -0.709259
1.37 -0.197619 -1.84974 0.120052 -0.71906
1.38 -0.216187 -1.86385 0.112812 -0.728954
1.39 -0.234895 -1.87771 0.105472 -0.738943
1.4 -0.25374 -1.89128 0.0980326 -0.749025
1.41 -0.272719 -1.90455 0.0904915 -0.759201
1.42 -0.29183 -1.9175 0.0828482 -0.769469
1.43 -0.311068 -1.93011 0.0751017 -0.779831
1.44 -0.330431 -1.94234 0.0672512 -0.790284
1.45 -0.349913 -1.95417 0.0592956 -0.800829
1.46 -0.369513 -1.96559 0.0512342 -0.811464
1.47 -0.389224 -1.97657 0.0430659 -0.82219
1.48 -0.409042 -1.98708 0.03479 -0.833004
1.49 -0.428963 -1.99709 0.0264055 -0.843906
1.5 -0.448982 -2.00659 0.0179115 -0.854894
1.51 -0.469093 -2.01553 0.00930721 -0.865967
1.52 -0.489291 -2.02391 0.000591774 -0.877124
1.53 -0.509569 -2.03169 -0.00823564 -0.888363
1.54 -0.529922 -2.03884 -0.0171758 -0.899681
1.55 -0.550344 -2.04533 -0.0262296 -0.911077
1.56 -0.570827 -2.05115 -0.0353977 -0.922549
1.57 -0.591364 -2.05627 -0.0446809 -0.934094
1.58 -0.61195 -2.06065 -0.05408 -0.94571
1.59 -0.632575 -2.06428 -0.0635955 -0.957394
1.6 -0.653232 -2.06712 -0.0732281 -0.969142
1.61 -0.673914 -2.06916 -0.0829786 -0.980952
1.62 -0.694613 -2.07037 -0.0928475 -0.99282
1.63 -0.715319 -2.07072 -0.102835 -1.00474
1.64 -0.736024 -2.07021 -0.112943 -1.01672
1.65 -0.75672 -2.06879 -0.12317 -1.02874
1.66 -0.777397 -2.06646 -0.133518 -1.0408
1.67 -0.798046 -2.0632 -0.143986 -1.0529
1.68 -0.818658 -2.05899 -0.154576 -1.06503
1.69 -0.839223 -2.05382 -0.165287 -1.07719
1.7 -0.859731 -2.04766 -0.176119 -1.08937
1.71 -0.880172 -2.04051 -0.187074 -1.10156
1.72 -0.900538 -2.03236 -0.198151 -1.11377
1.73 -0.920816 -2.02321 -0.20935 -1.12597
1.74 -0.940998 -2.01303 -0.22067 -1.13818
1.75 -0.961073 -2.00184 -0.232113 -1.15037
1.76 -0.981031 -1.98962 -0.243678 -1.16255
1.77 -1.00086 -1.97638 -0.255364 -1.1747
1.78 -1.02056 -1.96212 -0.267172 -1.18682
1.79 -1.0401 -1.94684 -0.2791 -1.19889
1.8 -1.05949 -1.93056 -0.291149 -1.21091
1.81 -1.07871 -1.91328 -0.303318 -1.22288
1.82 -1.09775 -1.89501 -0.315607 -1.23477
1.83 -1.11661 -1.87577 -0.328014 -1.24658
1.84 -1.13526 -1.85557 -0.340538 -1.25831
1.85 -1.15371 -1.83444 -0.35318 -1.26993
1.86 -1.17195 -1.81238 -0.365937 -1.28145
1.87 -1.18996 -1.78944 -0.378808 -1.29284
1.88 -1.20773 -1.76562 -0.391793 -1.3041
1.89 -1.22527 -1.74096 -0.40489 -1.31522
1.9 -1.24255 -1.71549 -0.418097 -1.32617
1.91 -1.25958 -1.68923 -0.431413 -1.33696
1.92 -1.27633 -1.66223 -0.444836 -1.34757
1.93 -1.29282 -1.63451 -0.458363 -1.35798
1.94 -1.30902 -1.6061 -0.471994 -1.36818
1.95 -1.32494 -1.57706 -0.485726 -1.37816
1.96 -1.34056 -1.54741 -0.499557 -1.3879
1.97 -1.35588 -1.51719 -0.513484 -1.3974
1.98 -1.3709 -1.48645 -0.527504 -1.40663
1.99 -1.38561 -1.45521 -0.541615 -1.41558
2 -1.40001 -1.42354 -0.555815 -1.42423
2.01 -1.41408 -1.39145 -0.570099 -1.43258
2.02 -1.42783 -1.35901 -0.584465 -1.44061
2.03 -1.44126 -1.32624 -0.59891 -1.44829
2.04 -1.45436 -1.29319 -0.61343 -1.45563
2.05 -1.46712 -1.25991 -0.628021 -1.4626
2.06 -1.47955 -1.22642 -0.64268 -1.46918
2.07 -1.49165 -1.19278 -0.657403 -1.47536
2.08 -1.50341 -1.15902 -0.672186 -1.48114
2.09 -1.51483 -1.12519 -0.687025 -1.48648
2.1 -1.52591 -1.09131 -0.701914 -1.49138
2.11 -1.53666 -1.05743 -0.716851 -1.49583
2.12 -1.54706 -1.02358 -0.731829 -1.49981
2.13 -1.55713 -0.989797 -0.746845 -1.5033
2.14 -1.56686 -0.956116 -0.761894 -1.50629
2.15 -1.57625 -0.922569 -0.776969 -1.50877
2.16 -1.58531 -0.889187 -0.792067 -1.51073
2.17 -1.59404 -0.855999 -0.807182 -1.51215
2.18 -1.60243 -0.823033 -0.822308 -1.51302
2.19 -1.6105 -0.790317 -0.83744 -1.51333
2.2 -1.61824 -0.757874 -0.852573 -1.51307
2.21 -1.62566 -0.72573 -0.8677 -1.51223
2.22 -1.63275 -0.693905 -0.882816 -1.51081
2.23 -1.63954 -0.662422 -0.897914 -1.50878
2.24 -1.646 -0.631298 -0.912989 -1.50615
2.25 -1.65216 -0.600552 -0.928035 -1.50291
2.26 -1.65802 -0.570199 -0.943045 -1.49905
2.27 -1.66357 -0.540254 -0.958014 -1.49456
2.28 -1.66882 -0.510731 -0.972934 -1.48944
2.29 -1.67378 -0.481641 -0.9878 -1.4837
2.3 -1.67846 -0.452995 -1.00261 -1.47732
2.31 -1.68285 -0.424801 -1.01734 -1.4703
2.32 -1.68695 -0.397068 -1.03201 -1.46265
2.33 -1.69079 -0.369803 -1.0466 -1.45436
2.34 -1.69435 -0.34301 -1.06109 -1.44544
2.35 -1.69765 -0.316695 -1.0755 -1.43589
2.36 -1.70069 -0.29086 -1.08981 -1.42571
2.37 -1.70347 -0.265508 -1.10401 -1.41491
2.38 -1.706 -0.24064 -1.11811 -1.40349
2.39 -1.70828 -0.216257 -1.13208 -1.39146
2.4 -1.71033 -0.192357 -1.14593 -1.37883
2.41 -1.71213 -0.16894 -1.15966 -1.36561
2.42 -1.71371 -0.146003 -1.17324 -1.35181
2.43 -1.71505 -0.123544 -1.18669 -1.33744
2.44 -1.71618 -0.101559 -1.19999 -1.32251
2.45 -1.71709 -0.0800444 -1.21314 -1.30703
2.46 -1.71778 -0.0589954 -1.22613 -1.29102
2.47 -1.71827 -0.0384069 -1.23896 -1.27449
2.48 -1.71855 -0.0182733 -1.25162 -1.25746
2.49 -1.71864 0.00141159 -1.2641 -1.23995
2.5 -1.71853 0.0206541 -1.27641 -1.22196
2.51 -1.71822 0.039461 -1.28854 -1.20353
2.52 -1.71774 0.0578394 -1.30048 -1.18466
2.53 -1.71707 0.0757967 -1.31223 -1.16538
2.54 -1.71622 0.0933404 -1.32379 -1.14571
2.55 -1.7152 0.110479 -1.33515 -1.12566
2.56 -1.71402 0.127219 -1.3463 -1.10526
2.57 -1.71266 0.14357 -1.35725 -1.08452
2.58 -1.71115 0.15954 -1.36799 -1.06347
2.59 -1.70947 0.175137 -1.37852 -1.04212
2.6 -1.70764 0.190369 -1.38883 -1.02051
2.61 -1.70567 0.205246 -1.39893 -0.998646
2.62 -1.70354 0.219776 -1.4088 -0.976552
2.63 -1.70127 0.233967 -1.41846 -0.954251
2.64 -1.69886 0.247828 -1.42789 -0.931763
2.65 -1.69632 0.261367 -1.43709 -0.90911
2.66 -1.69364 0.274594 -1.44607 -0.886311
2.67 -1.69083 0.287516 -1.45482 -0.863388
2.68 -1.68789 0.300142 -1.46334 -0.84036
2.69 -1.68482 0.31248 -1.47163 -0.817247
2.7 -1.68164 0.324539 -1.47968 -0.794069
2.71 -1.67833 0.336327 -1.48751 -0.770845
2.72 -1.67491 0.347851 -1.4951 -0.747593
2.73 -1.67138 0.359121 -1.50246 -0.724332
2.74 -1.66773 0.370143 -1.50959 -0.701078
2.75 -1.66398 0.380926 -1.51648 -0.677849
2.76 -1.66011 0.391478 -1.52314 -0.654662
2.77 -1.65615 0.401805 -1.52957 -0.631531
2.78 -1.65208 0.411915 -1.53577 -0.608473
2.79 -1.64791 0.421816 -1.54174 -0.585502
2.8 -1.64364 0.431515 -1.54748 -0.562631
2.81 -1.63928 0.441018 -1.553 -0.539874
2.82 -1.63482 0.450333 -1.55828 -0.517243
2.83 -1.63027 0.459466 -1.56334 -0.494751
2.84 -1.62563 0.468424 -1.56818 -0.472408
2.85 -1.62091 0.477213 -1.57279 -0.450226
2.86 -1.61609 0.48584 -1.57718 -0.428214
2.87 -1.61119 0.494311 -1.58135 -0.406381
2.88 -1.6062 0.502632 -1.58531 -0.384736
2.89 -1.60114 0.510808 -1.58905 -0.363287
2.9 -1.59599 0.518847 -1.59258 -0.342041
2.91 -1.59076 0.526752 -1.59589 -0.321006
2.92 -1.58545 0.534531 -1.599 -0.300186
2.93 -1.58007 0.542188 -1.6019 -0.279587
2.94 -1.57461 0.549728 -1.60459 -0.259215
2.95 -1.56908 0.557157 -1.60708 -0.239074
2.96 -1.56347 0.56448 -1.60937 -0.219167
2.97 -1.55779 0.571701 -1.61147 -0.199498
2.98 -1.55204 0.578826 -1.61336 -0.180069
2.99 -1.54621 0.585859 -1.61507 -0.160883
3 -1.54032 0.592805 -1.61658 -0.141942
3.01 -1.53436 0.599668 -1.61791 -0.123247
3.02 -1.52833 0.606452 -1.61905 -0.104798
3.03 -1.52223 0.613163 -1.62 -0.086596
3.04 -1.51606 0.619803 -1.62078 -0.0686417
3.05 -1.50983 0.626377 -1.62138 -0.0509342
3.06 -1.50353 0.632889 -1.6218 -0.0334731
3.07 -1.49717 0.639343 -1.62205 -0.0162573
3.08 -1.49075 0.645743 -1.62212 0.000714413
