# time lambda_running
0.99900000 0.16050677
1.99900000 0.34470597
2.99900000 0.03856031
3.99900000 0.12776435
4.99900000 0.23462899
5.99900000 0.00606881
6.99900000 0.03516367
7.99900000 0.14700048
8.99900000 0.09025643
9.99900000 -0.00178591
10.99900000 0.09326678
11.99900000 0.13124506
12.99900000 -0.01479259
13.99900000 0.04559598
14.99900000 0.09137481
15.99900000 -0.00607766
16.99900000 0.01590477
17.99900000 0.06416806
18.99900000 0.03558886
19.99900000 -0.00049698
20.99900000 0.05006235
21.99900000 0.06981378
22.99900000 -0.00834369
23.99900000 0.02710294
24.99900000 0.05614823
25.99900000 -0.00430211
26.99900000 0.01025308
27.99900000 0.04101007
28.99900000 0.02246281
29.99900000 -0.00019998
30.99900000 0.03413172
31.99900000 0.04764846
32.99900000 -0.00576524
33.99900000 0.01932983
34.99900000 0.04052416
35.99900000 -0.00328619
36.99900000 0.00762151
37.99900000 0.03010176
38.99900000 0.01629216
39.99900000 -0.00005847
40.99900000 0.02593593
41.99900000 0.03608995
42.99900000 -0.00438320
43.99900000 0.01508064
44.99900000 0.03180676
45.99900000 -0.00269489
46.99900000 0.00610804
47.99900000 0.02373990
48.99900000 0.01265453
49.99900000 0.00002639
50.99900000 0.02095075
51.99900000 0.02897638
52.99900000 -0.00352172
53.99900000 0.01240481
54.99900000 0.02625245
55.99900000 -0.00231049
56.99900000 0.00512586
57.99900000 0.01956958
58.99900000 0.01025145
59.99900000 0.00008329
60.99900000 0.01759884
61.99900000 0.02415416
62.99900000 -0.00293301
63.99900000 0.01056529
64.99900000 0.02240268
65.99900000 -0.00203960
66.99900000 0.00443719
67.99900000 0.01662382
68.99900000 0.00854551
69.99900000 0.00012423
70.99900000 0.01519016
71.99900000 0.02066841
72.99900000 -0.00250499
73.99900000 0.00922306
74.99900000 0.01957555
75.99900000 -0.00183748
76.99900000 0.00392768
77.99900000 0.01443179
78.99900000 0.00727198
79.99900000 0.00015520
80.99900000 0.01337536
81.99900000 0.01803022
82.99900000 -0.00217959
83.99900000 0.00820051
84.99900000 0.01740999
85.99900000 -0.00168017
86.99900000 0.00353556
87.99900000 0.01273667
88.99900000 0.00628515
89.99900000 0.00017952
90.99900000 0.01195862
91.99900000 0.01596325
92.99900000 -0.00192373
93.99900000 0.00739562
94.99900000 0.01569697
95.99900000 -0.00155369
96.99900000 0.00322451
97.99900000 0.01138650
98.99900000 0.00549819
99.99900000 0.00019920
100.99900000 0.01082168
101.99900000 0.01429955
102.99900000 -0.00171715
103.99900000 0.00674558
104.99900000 0.01430708
105.99900000 -0.00144933
106.99900000 0.00297181
107.99900000 0.01028562
108.99900000 0.00485611
109.99900000 0.00021548
110.99900000 0.00988891
111.99900000 0.01293112
112.99900000 -0.00154678
113.99900000 0.00620966
114.99900000 0.01315595
115.99900000 -0.00136140
116.99900000 0.00276250
117.99900000 0.00937079
118.99900000 0.00432244
119.99900000 0.00022923
120.99900000 0.00910966
121.99900000 0.01178540
122.99900000 -0.00140379
123.99900000 0.00576022
124.99900000 0.01218622
125.99900000 -0.00128600
126.99900000 0.00258632
127.99900000 0.00859856
128.99900000 0.00387199
129.99900000 0.00024103
130.99900000 0.00844875
131.99900000 0.01081180
132.99900000 -0.00128202
133.99900000 0.00537791
134.99900000 0.01135752
135.99900000 -0.00122039
136.99900000 0.00243602
137.99900000 0.00793809
138.99900000 0.00348684
139.99900000 0.00025129
140.99900000 0.00788100
141.99900000 0.00997399
142.99900000 -0.00117702
143.99900000 0.00504874
144.99900000 0.01064062
145.99900000 -0.00116258
146.99900000 0.00230632
147.99900000 0.00736688
148.99900000 0.00315386
149.99900000 0.00026033
150.99900000 0.00738788
151.99900000 0.00924520
152.99900000 -0.00108550
153.99900000 0.00476235
154.99900000 0.01001386
155.99900000 -0.00111107
156.99900000 0.00219328
157.99900000 0.00686815
158.99900000 0.00286324
159.99900000 0.00026836
160.99900000 0.00695545
161.99900000 0.00860525
162.99900000 -0.00100500
163.99900000 0.00451092
164.99900000 0.00946082
165.99900000 -0.00106476
166.99900000 0.00209391
167.99900000 0.00642911
168.99900000 0.00260748
169.99900000 0.00027558
170.99900000 0.00657307
171.99900000 0.00803869
172.99900000 -0.00093359
173.99900000 0.00428840
174.99900000 0.00896884
175.99900000 -0.00102276
176.99900000 0.00200589
177.99900000 0.00603986
178.99900000 0.00238077
179.99900000 0.00028211
180.99900000 0.00623243
181.99900000 0.00753342
182.99900000 -0.00086980
183.99900000 0.00409009
184.99900000 0.00852800
185.99900000 -0.00098440
186.99900000 0.00192741
187.99900000 0.00569263
188.99900000 0.00217851
189.99900000 0.00028807
190.99900000 0.00592694
191.99900000 0.00707991
192.99900000 -0.00081245
193.99900000 0.00391223
194.99900000 0.00813041
195.99900000 -0.00094914
196.99900000 0.00185700
197.99900000 0.00538122
198.99900000 0.00199705
199.99900000 0.00029354
200.99900000 0.00565136
201.99900000 0.00667048
202.99900000 -0.00076058
203.99900000 0.00375183
204.99900000 0.00776975
205.99900000 -0.00091654
206.99900000 0.00179350
207.99900000 0.00510062
208.99900000 0.00183342
209.99900000 0.00029858
210.99900000 0.00540141
211.99900000 0.00629891
212.99900000 -0.00071343
213.99900000 0.00360641
214.99900000 0.00744084
215.99900000 -0.00088624
216.99900000 0.00173595
217.99900000 0.00484677
218.99900000 0.00168519
219.99900000 0.00030327
220.99900000 0.00517361
221.99900000 0.00596011
222.99900000 -0.00067036
223.99900000 0.00347398
224.99900000 0.00713945
225.99900000 -0.00085796
226.99900000 0.00168356
227.99900000 0.00461630
228.99900000 0.00155036
229.99900000 0.00030764
230.99900000 0.00496507
231.99900000 0.00564985
232.99900000 -0.00063086
233.99900000 0.00335287
234.99900000 0.00686207
235.99900000 -0.00083144
236.99900000 0.00163569
237.99900000 0.00440644
238.99900000 0.00142728
239.99900000 0.00031173
240.99900000 0.00477337
241.99900000 0.00536462
242.99900000 -0.00059448
243.99900000 0.00324168
244.99900000 0.00660575
245.99900000 -0.00080649
246.99900000 0.00159178
247.99900000 0.00421485
248.99900000 0.00131454
249.99900000 0.00031559
250.99900000 0.00459650
251.99900000 0.00510144
252.99900000 -0.00056085
253.99900000 0.00313924
254.99900000 0.00636802
255.99900000 -0.00078293
256.99900000 0.00155137
257.99900000 0.00403957
258.99900000 0.00121097
259.99900000 0.00031922
260.99900000 0.00443273
261.99900000 0.00485781
262.99900000 -0.00052967
263.99900000 0.00304455
264.99900000 0.00614677
265.99900000 -0.00076062
266.99900000 0.00151407
267.99900000 0.00387892
268.99900000 0.00111554
269.99900000 0.00032267
270.99900000 0.00428062
271.99900000 0.00463159
272.99900000 -0.00050066
273.99900000 0.00295676
274.99900000 0.00594022
275.99900000 -0.00073943
276.99900000 0.00147953
277.99900000 0.00373146
278.99900000 0.00102742
279.99900000 0.00032595
280.99900000 0.00413889
281.99900000 0.00442094
282.99900000 -0.00047360
283.99900000 0.00287513
284.99900000 0.00574681
285.99900000 -0.00071925
286.99900000 0.00144748
287.99900000 0.00359597
288.99900000 0.00094584
289.99900000 0.00032907
290.99900000 0.00400647
291.99900000 0.00422427
292.99900000 -0.00044829
293.99900000 0.00279905
294.99900000 0.00556522
295.99900000 -0.00070000
296.99900000 0.00141765
297.99900000 0.00347137
298.99900000 0.00087017
299.99900000 0.00033206
300.99900000 0.00388243
301.99900000 0.00404021
302.99900000 -0.00042456
303.99900000 0.00272794
304.99900000 0.00539428
305.99900000 -0.00068159
306.99900000 0.00138984
307.99900000 0.00335672
308.99900000 0.00079985
309.99900000 0.00033492
310.99900000 0.00376594
311.99900000 0.00386755
312.99900000 -0.00040225
313.99900000 0.00266134
314.99900000 0.00523300
315.99900000 -0.00066395
316.99900000 0.00136385
317.99900000 0.00325119
318.99900000 0.00073438
319.99900000 0.00033768
320.99900000 0.00365629
321.99900000 0.00370525
322.99900000 -0.00038124
323.99900000 0.00259883
324.99900000 0.00508049
325.99900000 -0.00064701
326.99900000 0.00133951
327.99900000 0.00315403
328.99900000 0.00067333
329.99900000 0.00034033
330.99900000 0.00355285
331.99900000 0.00355239
332.99900000 -0.00036141
333.99900000 0.00254004
334.99900000 0.00493596
335.99900000 -0.00063074
336.99900000 0.00131667
337.99900000 0.00306461
338.99900000 0.00061634
339.99900000 0.00034288
340.99900000 0.00345507
341.99900000 0.00340813
342.99900000 -0.00034266
343.99900000 0.00248464
344.99900000 0.00479873
345.99900000 -0.00061506
346.99900000 0.00129521
347.99900000 0.00298231
348.99900000 0.00056305
349.99900000 0.00034536
350.99900000 0.00336245
351.99900000 0.00327177
352.99900000 -0.00032490
353.99900000 0.00243233
354.99900000 0.00466819
355.99900000 -0.00059995
356.99900000 0.00127501
357.99900000 0.00290660
358.99900000 0.00051316
359.99900000 0.00034775
360.99900000 0.00327455
361.99900000 0.00314266
362.99900000 -0.00030804
363.99900000 0.00238287
364.99900000 0.00454381
365.99900000 -0.00058537
366.99900000 0.00125596
367.99900000 0.00283698
368.99900000 0.00046642
369.99900000 0.00035008
370.99900000 0.00319099
371.99900000 0.00302022
372.99900000 -0.00029202
373.99900000 0.00233602
374.99900000 0.00442509
375.99900000 -0.00057127
376.99900000 0.00123798
377.99900000 0.00277300
378.99900000 0.00042258
379.99900000 0.00035234
380.99900000 0.00311141
381.99900000 0.00290394
382.99900000 -0.00027677
383.99900000 0.00229157
384.99900000 0.00431160
385.99900000 -0.00055763
386.99900000 0.00122097
387.99900000 0.00271423
388.99900000 0.00038143
389.99900000 0.00035454
390.99900000 0.00303551
391.99900000 0.00279336
392.99900000 -0.00026223
393.99900000 0.00224935
394.99900000 0.00420295
395.99900000 -0.00054442
396.99900000 0.00120488
397.99900000 0.00266028
398.99900000 0.00034277
399.99900000 0.00035668
400.99900000 0.00296299
401.99900000 0.00268807
402.99900000 -0.00024835
403.99900000 0.00220917
404.99900000 0.00409880
405.99900000 -0.00053162
406.99900000 0.00118962
407.99900000 0.00261079
408.99900000 0.00030642
409.99900000 0.00035877
410.99900000 0.00289361
411.99900000 0.00258767
412.99900000 -0.00023508
413.99900000 0.00217089
414.99900000 0.00399882
415.99900000 -0.00051920
416.99900000 0.00117514
417.99900000 0.00256540
418.99900000 0.00027224
419.99900000 0.00036082
420.99900000 0.00282713
421.99900000 0.00249185
422.99900000 -0.00022238
423.99900000 0.00213438
424.99900000 0.00390273
425.99900000 -0.00050713
426.99900000 0.00116138
427.99900000 0.00252378
428.99900000 0.00024006
429.99900000 0.00036281
430.99900000 0.00276334
431.99900000 0.00240028
432.99900000 -0.00021022
433.99900000 0.00209950
434.99900000 0.00381028
435.99900000 -0.00049541
436.99900000 0.00114830
437.99900000 0.00248563
438.99900000 0.00020977
439.99900000 0.00036477
440.99900000 0.00270206
441.99900000 0.00231269
442.99900000 -0.00019854
443.99900000 0.00206615
444.99900000 0.00372122
445.99900000 -0.00048401
446.99900000 0.00113584
447.99900000 0.00245066
448.99900000 0.00018125
449.99900000 0.00036669
450.99900000 0.00264312
451.99900000 0.00222883
452.99900000 -0.00018733
453.99900000 0.00203422
454.99900000 0.00363533
455.99900000 -0.00047292
456.99900000 0.00112397
457.99900000 0.00241860
458.99900000 0.00015438
459.99900000 0.00036858
460.99900000 0.00258634
461.99900000 0.00214845
462.99900000 -0.00017655
463.99900000 0.00200361
464.99900000 0.00355243
465.99900000 -0.00046212
466.99900000 0.00111265
467.99900000 0.00238917
468.99900000 0.00012906
469.99900000 0.00037043
470.99900000 0.00253160
471.99900000 0.00207135
472.99900000 -0.00016618
473.99900000 0.00197425
474.99900000 0.00347233
475.99900000 -0.00045160
476.99900000 0.00110183
477.99900000 0.00236214
478.99900000 0.00010520
479.99900000 0.00037224
480.99900000 0.00247875
481.99900000 0.00199732
482.99900000 -0.00015619
483.99900000 0.00194604
484.99900000 0.00339486
485.99900000 -0.00044135
486.99900000 0.00109150
487.99900000 0.00233728
488.99900000 0.00008271
489.99900000 0.00037403
490.99900000 0.00242768
491.99900000 0.00192619
492.99900000 -0.00014656
493.99900000 0.00191893
494.99900000 0.00331988
495.99900000 -0.00043135
496.99900000 0.00108162
497.99900000 0.00231437
498.99900000 0.00006152
499.99900000 0.00037579
