t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9
0,5,4,0.423427,-0.665478,10,4,0.329712,-1.56247,15,4,0.33577,-0.208242,5,8,-0.783972,1.3214,10,8,-0.192371,1.09111,15,8,-1.24508,0.178023,5,12,-0.677993,0.771134,10,12,1.75047,-0.54177,15,12,-0.943892,-1.08034,5,16,0.764336,0.943099
0.01,5.00423,3.99335,0.423431,-0.665463,10.0033,3.98438,0.329712,-1.56246,15.0034,3.99792,0.335766,-0.208227,4.99216,8.01321,-0.783968,1.3214,9.99808,8.01091,-0.192371,1.09111,14.9875,8.00178,-1.24508,0.178023,4.99322,12.0077,-0.677989,0.771134,10.0175,11.9946,1.75047,-0.541785,14.9906,11.9892,-0.943896,-1.08035,5.00764,16.0094,0.764336,0.943084
0.02,5.00847,3.98669,0.423434,-0.665449,10.0066,3.96875,0.329712,-1.56244,15.0067,3.99584,0.335762,-0.208212,4.98432,8.02643,-0.783964,1.3214,9.99615,8.02182,-0.19237,1.09111,14.9751,8.00356,-1.24509,0.178024,4.98644,12.0154,-0.677986,0.771133,10.035,11.9892,1.75047,-0.541801,14.9811,11.9784,-0.9439,-1.08037,5.01529,16.0189,0.764337,0.943069
0.03,5.0127,3.98004,0.423438,-0.665435,10.0099,3.95313,0.329712,-1.56243,15.0101,3.99375,0.335759,-0.208198,4.97648,8.03964,-0.78396,1.3214,9.99423,8.03273,-0.19237,1.09112,14.9626,8.00534,-1.24509,0.178025,4.97966,12.0231,-0.677982,0.771132,10.0525,11.9837,1.75047,-0.541817,14.9717,11.9676,-0.943904,-1.08038,5.02293,16.0283,0.764337,0.943054
0.04,5.01694,3.97338,0.423441,-0.665421,10.0132,3.9375,0.329712,-1.56241,15.0134,3.99167,0.335755,-0.208183,4.96864,8.05286,-0.783956,1.3214,9.99231,8.04364,-0.192369,1.09112,14.9502,8.00712,-1.2451,0.178026,4.97288,12.0308,-0.677979,0.771131,10.07,11.9783,1.75047,-0.541834,14.9622,11.9568,-0.943908,-1.0804,5.03057,16.0377,0.764337,0.943039
0.05,5.02117,3.96673,0.423444,-0.665408,10.0165,3.92188,0.329712,-1.5624,15.0168,3.98959,0.335751,-0.208168,4.9608,8.06607,-0.783952,1.32141,9.99038,8.05456,-0.192369,1.09113,14.9377,8.0089,-1.2451,0.178028,4.9661,12.0386,-0.677975,0.771129,10.0875,11.9729,1.75047,-0.541851,14.9528,11.946,-0.943912,-1.08042,5.03822,16.0472,0.764337,0.943024
0.06,5.02541,3.96007,0.423448,-0.665396,10.0198,3.90625,0.329712,-1.56239,15.0201,3.98751,0.335747,-0.208154,4.95296,8.07928,-0.783948,1.32141,9.98846,8.06547,-0.192368,1.09113,14.9253,8.01068,-1.2451,0.178031,4.95932,12.0463,-0.677972,0.771128,10.105,11.9675,1.75047,-0.541869,14.9434,11.9352,-0.943916,-1.08043,5.04586,16.0566,0.764337,0.943009
0.07,5.02964,3.95342,0.423451,-0.665384,10.0231,3.89063,0.329712,-1.56238,15.0235,3.98543,0.335744,-0.208139,4.94512,8.0925,-0.783944,1.32141,9.98653,8.07638,-0.192366,1.09114,14.9128,8.01246,-1.24511,0.178034,4.95254,12.054,-0.677969,0.771126,10.1225,11.9621,1.75047,-0.541887,14.9339,11.9244,-0.943921,-1.08045,5.0535,16.066,0.764338,0.942994
0.08,5.03388,3.94677,0.423454,-0.665372,10.0264,3.87501,0.329712,-1.56237,15.0269,3.98335,0.33574,-0.208125,4.93728,8.10571,-0.78394,1.32142,9.98461,8.08729,-0.192365,1.09115,14.9004,8.01424,-1.24511,0.178038,4.94576,12.0617,-0.677966,0.771124,10.14,11.9567,1.75047,-0.541906,14.9245,11.9136,-0.943926,-1.08047,5.06115,16.0754,0.764338,0.94298
0.09,5.03811,3.94011,0.423458,-0.665361,10.0297,3.85938,0.329712,-1.56236,15.0302,3.98126,0.335736,-0.208111,4.92944,8.11893,-0.783936,1.32142,9.98269,8.0982,-0.192364,1.09115,14.8879,8.01602,-1.24511,0.178042,4.93898,12.0694,-0.677962,0.771122,10.1575,11.9512,1.75047,-0.541925,14.915,11.9028,-0.943931,-1.08049,5.06879,16.0849,0.764338,0.942965
