t	x	v	state	E_total
0	0	0	1	0
0.1	-0.0107796	0.0273014	1	0.0677454
0.2	-0.0103627	-0.307828	1	0.112146
0.3	-0.00270819	-0.221202	1	0.0413912
0.4	-0.00380056	-0.0769948	1	0.0267176
0.5	-0.00744124	-0.0785796	1	0.0495951
0.6	-0.010839	0.0685037	1	0.0700901
0.7	-0.00404838	-0.359219	1	0.0898217
0.8	0.00300156	-0.0527084	1	0.0764281
0.9	-0.00177277	-0.177442	1	0.0268227
1	-0.00191412	-0.178753	1	0.0279395
1.1	-0.00693403	-0.428618	1	0.135194
1.2	-0.0452518	-0.140469	1	0.29269
1.3	-0.0504449	0.171186	1	0.329933
1.4	0.0128209	0.974394	1	0.795243
1.5	-0.000505548	-1.35892	1	0.926494
1.6	-0.0980672	-0.573503	1	0.777373
1.7	-0.150641	-0.121684	1	0.948908
1.8	-0.137784	0.431651	1	0.954312
1.9	-0.0855368	0.754874	1	0.819522
2	-0.00363793	0.707447	1	0.272978
2.1	-0.0154921	0.0146263	1	0.0969327
2.2	0.00337761	-0.224537	1	0.109649
2.3	0.00360208	0.0546316	1	0.0915443
2.4	-0.0276977	0.0131633	1	0.173197
2.5	-0.0328755	0.159145	1	0.218135
2.6	0.0047705	-0.537631	1	0.263786
2.7	-0.00744582	0.180081	1	0.0627509
2.8	-0.0118335	-0.473096	1	0.185869
2.9	-0.0385522	0.16041	1	0.253817
3	0.00938013	-0.0137172	1	0.234597
3.1	-0.0159685	-0.00370051	1	0.0998101
3.2	-0.00305457	-0.621634	1	0.212305
3.3	-0.0417256	-0.183113	1	0.27755
3.4	-0.0606075	-0.167491	1	0.392824
3.5	-0.0402196	0.692258	1	0.490983
3.6	0.014944	-0.350454	1	0.435009
3.7	-0.0273347	-0.0892182	1	0.174822
3.8	0.00463148	0.654771	1	0.33015
3.9	-0.025721	-0.468102	1	0.270316
4	-0.043208	0.509385	1	0.399787
4.1	0.0218225	-0.0612547	1	0.54744
4.2	-0.0312589	-0.179857	1	0.211543
4.3	-0.0399299	0.336003	1	0.306011
4.4	0.0123921	0.305628	1	0.356508
4.5	-0.0424135	-0.48306	1	0.381758
4.6	-0.0513068	0.122736	1	0.328199
4.7	-0.0159247	0.97315	1	0.573039
4.8	0.0174003	-0.800518	1	0.755421
4.9	-0.0534799	-0.459941	1	0.440022
5	-0.0440212	0.35121	1	0.336807
5.1	0.0262554	0.665691	1	0.877957
5.2	-0.0201616	-1.47349	1	1.2116
5.3	-0.100868	0.0909551	1	0.634564
5.4	-0.0757839	0.512417	1	0.604935
5.5	0.000151336	0.641668	1	0.209652
5.6	-0.0211539	-0.416512	1	0.218953
5.7	-0.0552674	0.0452923	1	0.346447
5.8	-0.0171384	0.663295	1	0.327095
5.9	0.0112002	-0.909256	1	0.693378
6	-0.0689309	-0.113054	1	0.437209
6.1	-0.0403559	0.839386	1	0.604509
6.2	0.0218343	-0.382227	1	0.618907
6.3	-0.0605547	-0.342409	1	0.437089
6.4	-0.078698	-0.0279714	1	0.492254
6.5	-0.0429959	0.849162	1	0.629263
6.6	0.0148295	-0.0641618	1	0.372795
6.7	-0.0502373	-0.600155	1	0.494077
6.8	-0.0949922	-0.311558	1	0.642235
6.9	-0.0901217	0.286279	1	0.604238
7	-0.0253722	1.07162	1	0.732759
7.1	0.0209189	-0.753052	1	0.806515
7.2	-0.0783149	-0.665161	1	0.710688
7.3	-0.133333	-0.258256	1	0.866679
7.4	-0.102855	0.634178	1	0.843934
7.5	0.00592934	1.59046	1	1.41302
7.6	0.0397972	-1.0581	1	1.55472
7.7	-0.10652	-1.09499	1	1.26525
