# t K1 K2 U1 U2 Uc E_tot
0.00000000 0.00000000 0.00000000 0.00000000 0.71594242 0.22500000 0.94094242
0.00100000 0.00005016 0.00000965 -0.00005954 0.71593012 0.22501097 0.94094136
0.00200000 0.00017419 0.00004101 -0.00022655 0.71588962 0.22504323 0.94092149
0.00300000 0.00037614 0.00009383 -0.00048173 0.71582130 0.22509414 0.94090368
0.00400000 0.00067037 0.00015491 -0.00084696 0.71572501 0.22516664 0.94086998
0.00500000 0.00103762 0.00022161 -0.00130997 0.71560979 0.22525686 0.94081590
0.00600000 0.00154751 0.00030121 -0.00187738 0.71547203 0.22536658 0.94080995
0.00700000 0.00218692 0.00040698 -0.00256835 0.71531485 0.22549759 0.94083799
0.00800000 0.00287512 0.00054648 -0.00337331 0.71512920 0.22565090 0.94082838
0.00900000 0.00362179 0.00067619 -0.00428359 0.71491759 0.22582474 0.94075672
0.01000000 0.00441638 0.00082546 -0.00529843 0.71468730 0.22601723 0.94064795
0.01100000 0.00536549 0.00103403 -0.00640941 0.71442934 0.22622950 0.94064895
0.01200000 0.00656205 0.00122813 -0.00764155 0.71414084 0.22646566 0.94075512
0.01300000 0.00785013 0.00146050 -0.00900065 0.71383379 0.22672348 0.94086725
0.01400000 0.00909537 0.00175426 -0.01047570 0.71349139 0.22700577 0.94087109
0.01500000 0.01032205 0.00204736 -0.01205128 0.71312202 0.22730840 0.94074855
0.01600000 0.01165352 0.00235395 -0.01372550 0.71272245 0.22763198 0.94063639
0.01700000 0.01313731 0.00263112 -0.01550428 0.71229751 0.22797613 0.94053780
0.01800000 0.01485454 0.00297343 -0.01739167 0.71185075 0.22834054 0.94062759
0.01900000 0.01664482 0.00337847 -0.01940261 0.71137084 0.22873012 0.94072164
0.02000000 0.01840996 0.00376899 -0.02151813 0.71086298 0.22914108 0.94066488
0.02100000 0.02036534 0.00421503 -0.02374222 0.71032755 0.22957392 0.94073961
0.02200000 0.02240144 0.00463841 -0.02608222 0.70975968 0.23003092 0.94074822
0.02300000 0.02451405 0.00506008 -0.02852883 0.70917017 0.23050816 0.94072362
0.02400000 0.02687625 0.00564825 -0.03108921 0.70855084 0.23100876 0.94099488
0.02500000 0.02914095 0.00628839 -0.03377123 0.70789302 0.23153604 0.94108717
0.02600000 0.03122825 0.00679799 -0.03654767 0.70720327 0.23208477 0.94076661
0.02700000 0.03366302 0.00725936 -0.03942139 0.70649192 0.23265278 0.94064569
0.02800000 0.03623844 0.00791824 -0.04241350 0.70575543 0.23324392 0.94074253
0.02900000 0.03881865 0.00868951 -0.04550694 0.70497983 0.23385951 0.94084056
0.03000000 0.04158402 0.00945533 -0.04871135 0.70417144 0.23449935 0.94099880
0.03100000 0.04437295 0.01019627 -0.05202454 0.70332754 0.23516395 0.94103617
0.03200000 0.04711417 0.01075095 -0.05544315 0.70245568 0.23585103 0.94072867
0.03300000 0.04990432 0.01130771 -0.05896024 0.70156578 0.23655721 0.94037477
0.03400000 0.05287555 0.01194723 -0.06258023 0.70064892 0.23728547 0.94017694
0.03500000 0.05591612 0.01267478 -0.06630555 0.69970870 0.23803533 0.94002938
0.03600000 0.05904032 0.01355095 -0.07013247 0.69873621 0.23880868 0.94000369
0.03700000 0.06234606 0.01436757 -0.07406443 0.69773106 0.23960622 0.93998648
0.03800000 0.06572358 0.01510728 -0.07810397 0.69669995 0.24042671 0.93985354
0.03900000 0.06928426 0.01582446 -0.08224719 0.69564315 0.24126965 0.93977432
0.04000000 0.07299198 0.01660221 -0.08650345 0.69456317 0.24213582 0.93978974
0.04100000 0.07657473 0.01752382 -0.09086624 0.69345463 0.24302587 0.93971280
0.04200000 0.08011142 0.01840645 -0.09532902 0.69231488 0.24393971 0.93944344
