# t x1 v1 x2 v2
0.00000000 0.00000000 0.00000000 0.30000000 0.00000000
0.00100000 -0.00000526 -0.01001591 0.30000205 0.00439371
0.00200000 -0.00002003 -0.01866498 0.30000879 0.00905631
0.00300000 -0.00004259 -0.02742783 0.30002016 0.01369880
0.00400000 -0.00007489 -0.03661609 0.30003619 0.01760198
0.00500000 -0.00011583 -0.04555472 0.30005536 0.02105278
0.00600000 -0.00016600 -0.05563296 0.30007829 0.02454421
0.00700000 -0.00022709 -0.06613494 0.30010445 0.02853006
0.00800000 -0.00029827 -0.07583032 0.30013535 0.03305997
0.00900000 -0.00037875 -0.08510922 0.30017057 0.03677467
0.01000000 -0.00046849 -0.09398280 0.30020890 0.04063161
0.01100000 -0.00056672 -0.10359040 0.30025183 0.04547596
0.01200000 -0.00067567 -0.11456044 0.30029985 0.04956073
0.01300000 -0.00079584 -0.12530066 0.30035096 0.05404619
0.01400000 -0.00092627 -0.13487308 0.30040794 0.05923274
0.01500000 -0.00106559 -0.14368056 0.30046942 0.06399005
0.01600000 -0.00121363 -0.15266643 0.30053592 0.06861408
0.01700000 -0.00137092 -0.16209448 0.30060665 0.07254135
0.01800000 -0.00153782 -0.17236321 0.30068101 0.07711592
0.01900000 -0.00171565 -0.18245446 0.30076088 0.08220066
0.02000000 -0.00190273 -0.19188517 0.30084541 0.08682154
0.02100000 -0.00209942 -0.20181842 0.30093452 0.09181539
0.02200000 -0.00230636 -0.21166692 0.30102904 0.09631625
0.02300000 -0.00252275 -0.22142288 0.30112716 0.10059901
0.02400000 -0.00274921 -0.23184585 0.30123024 0.10628497
0.02500000 -0.00298644 -0.24141647 0.30133973 0.11214622
0.02600000 -0.00323204 -0.24991298 0.30145453 0.11660184
0.02700000 -0.00348627 -0.25947261 0.30157293 0.12049366
0.02800000 -0.00375099 -0.26921530 0.30169552 0.12584305
0.02900000 -0.00402470 -0.27863472 0.30182462 0.13182949
0.03000000 -0.00430826 -0.28838870 0.30195918 0.13751606
0.03100000 -0.00460147 -0.29790250 0.30209965 0.14280247
0.03200000 -0.00490406 -0.30696636 0.30224478 0.14663524
0.03300000 -0.00521541 -0.31592505 0.30239292 0.15038424
0.03400000 -0.00553591 -0.32519394 0.30254555 0.15457834
0.03500000 -0.00586580 -0.33441329 0.30270208 0.15921543
0.03600000 -0.00620474 -0.34362863 0.30286398 0.16462655
0.03700000 -0.00655305 -0.35311771 0.30303133 0.16951441
0.03800000 -0.00691097 -0.36255642 0.30320301 0.17382337
0.03900000 -0.00727817 -0.37224792 0.30337898 0.17790143
0.04000000 -0.00765547 -0.38207848 0.30355881 0.18222080
0.04100000 -0.00804232 -0.39134314 0.30374342 0.18721013
0.04200000 -0.00843816 -0.40027844 0.30393323 0.19186690
0.04300000 -0.00884288 -0.41018678 0.30412715 0.19670247
0.04400000 -0.00925853 -0.42041375 0.30432664 0.20141398
0.04500000 -0.00968371 -0.42898405 0.30452998 0.20540481
0.04600000 -0.01011650 -0.43716191 0.30473745 0.20989990
0.04700000 -0.01055803 -0.44621641 0.30494978 0.21501185
0.04800000 -0.01100893 -0.45497033 0.30516747 0.22009941
0.04900000 -0.01146797 -0.46382923 0.30538998 0.22500184
0.05000000 -0.01193659 -0.47259123 0.30561747 0.22977304
